Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Training Stress Score®,Total Strokes,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Rowing,2024-08-24 11:47:00,false,"Gilmer County Rowing","20,621","1,428","05:35:37","103","141","1.4","8:08","0:21","--","--","0.0","3413","68.0","No","00:00:01.0","5","96.8","01:46:46","05:35:44","--","--"
Rowing,2024-08-22 19:59:19,false,"Rowing","--","421","01:37:25","101","155","1.4","--","--","--","--","0.0","1206","73.4","No","01:37:25","1","87.8","00:00:00","01:38:06","--","--"
Cycling,2024-08-17 07:04:57,false,"Cherokee County Cycling","9.95","894","02:04:16","135","172","2.7","4.8","16.7","981","1,030","0.0","--","75.2","No","00:00:03.8","4","86.0","01:33:26","02:11:09","1,074","1,229"
Strength Training,2024-08-12 17:29:30,false,"Strength","0.00","285","00:59:33","103","144","1.3","--","--","--","--","0.0","--","84.2","No","00:59:33","1","104.0","00:00:00","00:59:33","717","817"
Cycling,2024-08-11 22:07:58,false,"Atlanta Cycling","4.41","410","01:18:08","107","141","1.9","3.4","17.3","266","259","0.0","--","82.4","No","01:18:08","1","86.0","00:40:00","01:18:08","659","745"
Cycling,2024-08-11 13:34:51,false,"Cherokee County Cycling","7.02","1,087","01:41:33","155","193","3.6","4.1","15.8","1,732","669","0.0","--","87.8","No","00:23:51","2","98.6","01:01:22","01:41:33","600","785"
Strength Training,2024-08-08 10:15:30,false,"Strength","0.00","403","01:03:35","116","146","1.7","--","--","--","--","0.0","--","78.8","No","01:03:35","1","100.4","00:00:00","01:03:35","711","818"
Cycling,2024-07-26 18:43:10,false,"Atlanta Cycling","16.51","248","02:40:48","74","82","1.0","6.2","25.4","873","1,020","0.0","--","78.8","No","00:33:27","4","89.6","01:31:14","02:40:48","205","516"
Cycling,2024-07-26 18:20:55,false,"Atlanta Cycling","4.92","60","00:21:31","79","132","1.0","13.7","26.4","285","79","0.0","--","84.2","No","00:21:31","1","87.8","00:20:53","00:21:31","287","511"
Cycling,2024-07-26 09:05:19,false,"Atlanta Cycling","4.83","91","00:50:49","75","94","1.0","5.7","19.5","269","322","0.0","--","77.0","No","00:50:49","1","82.4","00:33:49","00:50:49","257","395"
Cycling,2024-07-24 07:43:30,false,"Roswell Cycling","10.06","900","02:00:42","133","199","2.6","5.0","59.4","1,093","1,171","0.0","--","82.4","No","00:00:05.0","3","89.6","01:29:03","02:00:42","704","908"
Strength Training,2024-07-23 17:11:03,false,"Strength","0.00","226","00:35:15","111","162","1.9","--","--","--","--","0.0","--","82.4","No","00:35:15","1","102.2","00:00:00","00:35:15","871","973"
Cycling,2024-07-07 13:56:41,false,"Haywood County Cycling","2.67","483","00:36:41","162","175","3.7","4.4","22.3","430","614","0.0","--","77.0","No","00:36:41","1","84.2","00:23:47","00:36:41","2,194","2,555"
Cycling,2024-07-07 10:20:06,false,"Buncombe County Cycling","11.67","990","02:03:32","138","169","2.6","5.7","26.5","1,581","1,647","0.0","--","77.0","No","00:19:14","3","86.0","01:29:29","02:03:32","2,010","2,917"
Cycling,2024-07-06 16:22:15,false,"Buncombe County Cycling","6.32","753","01:17:40","148","182","3.2","4.9","19.8","879","892","0.0","--","82.4","No","00:14:47","2","89.6","00:54:13","01:17:40","2,162","2,573"
Cycling,2024-07-06 11:50:47,false,"McDowell County Cycling","10.21","1,034","02:18:17","141","181","3.6","4.4","18.0","1,854","1,903","0.0","--","80.6","No","00:00:01.7","4","95.0","01:35:37","02:18:19","1,583","3,097"
Cycling,2024-07-04 09:56:16,false,"Cobb County Cycling","6.19","373","01:03:09","111","176","2.6","5.9","20.2","679","636","0.0","--","82.4","No","00:00:01.9","4","91.4","00:43:58","01:19:10","818","1,046"
Cycling,2024-07-02 15:07:26,false,"Atlanta Cycling","4.87","308","00:40:57","123","163","2.1","7.1","26.5","331","591","0.0","--","82.4","No","00:40:57","1","93.2","00:28:19","00:41:01","1,766","1,919"
Cycling,2024-07-02 08:59:05,false,"Atlanta Cycling","4.85","310","00:36:14","130","166","2.4","8.0","23.3","292","381","0.0","--","77.0","No","00:00:02.4","3","84.2","00:26:03","00:36:16","1,686","1,866"
